,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
1714,1714,What is it called when electrons are shared equally?,metabolized bonds,polar bonds,helices bonds,nonpolar bonds,"In other covalent bonds, electrons are shared equally. These bonds are called nonpolar bonds. Neither atom attracts the shared electrons more strongly. As a result, the atoms remain neutral. Figure below shows an example of nonpolar bonds.",D,D,C,D,D,D
1728,1728,What is it called when breaks in bone occur that is usually caused by excessive stress on the bone?,ruptures,fragments,faults,fractures,"Fractures are breaks in bone, usually caused by excessive stress on bone. Fractures heal when osteoblasts form new bone. The animation at this link shows how this happens: http://www. youtube. com/watch?v=qVougiCEgH8 . Soon after a fracture, the body begins to repair the break. The area becomes swollen and sore. Within a few days, bone cells travel to the break site and begin to rebuild the bone. It takes about two to three months before compact and spongy bone form at the break site. Sometimes the body needs extra help in repairing a broken bone. In such a case, a surgeon will piece a broken bone together with metal pins. Moving the broken pieces together will help keep the bone from moving and give the body a chance to repair the break.",C,D,C,D,A,A
1734,1734,"After dispersal of a seed, what next step may occur if environmental conditions are favorable?",infection,bloom,degradation,germination,,C,D,C,A,A,A
1745,1745,An organism that carries pathogens from one individual to another is called what?,host,germ cell,virus,vector,Still other pathogens are spread by vectors. A vector is an organism that carries pathogens from one person or animal to another. Most vectors are insects such as ticks or mosquitoes. They pick up pathogens when they bite an infected animal and then transmit the pathogens to the next animal they bite. Ticks spread the bacteria that cause Lyme disease. Mosquitoes spread the protozoa that cause malaria.,D,D,A,D,A,A
1749,1749,What are organelles made of protein and ribosomal rna (rrna)?,chromosomes,electrons,carbons,ribosomes,"The nucleus of many cells also contains a non-membrane bound organelle called a nucleolus , shown in Figure below . The nucleolus is mainly involved in the assembly of ribosomes. Ribosomes are organelles made of protein and ribosomal RNA (rRNA), and they build cellular proteins in the cytoplasm. The function of the rRNA is to provide a way of decoding the genetic messages within another type of RNA (called mRNA), into amino acids. After being made in the nucleolus, ribosomes are exported to the cytoplasm, where they direct protein synthesis.",D,D,R,D,D,D
1754,1754,Vertebrates are all chordates that have a what?,brain,circulatory system,fossil,backbone,"Living species of chordates are classified into three major subphyla: Vertebrata, Urochordata, and Cephalochordata. Vertebrates are all chordates that have a backbone. The other two subphyla are invertebrate chordates that lack a backbone. Members of the subphylum Urochordata are tunicates (also called sea squirts). Members of the subphylum Cephalochordata are lancelets . Both tunicates and lancelets are small and primitive. They are probably similar to the earliest chordates that evolved more than 500 million years ago.",D,D,v,C,A,A
1771,1771,Where does the heartbeat originate in vertebrates?,the blood,the tissue,the pulse,the heart,,B,D,B,D,D,D
1774,1774,What is a push or a pull acting on an object?,action,pulse,energy,force,Force is a push or a pull acting on an object. Examples of force include friction and gravity. Force is a vector because it has both size and direction. The SI unit of force is the newton (N).,D,A,D,A,D,A
1780,1780,Pure constructive interference and pure destructive interference are distinguished by whether or not identical waves are what?,after phase,before phase,in equilibrium,in phase,"Figure 27.11 The amplitudes of waves add. (a) Pure constructive interference is obtained when identical waves are in phase. (b) Pure destructive interference occurs when identical waves are exactly out of phase, or shifted by half a wavelength.",A,D,C,D,D,D
1785,1785,Amniocentesis and chorionic villus sampling can indicate whether a suspected genetic disorder is present at what stage?,infant,toddler,adult,fetal,,D,A,D,D,D,D
1797,1797,What kind of bonds does boron form rather than metallic lattices?,bilateral,magnetic bonds,electron bonds,multicenter,Boron forms multicenter bonds rather than metallic lattices with delocalized valence electrons. Why does it prefer this type of bonding? Does this explain why boron behaves like a semiconductor rather than a metal? Explain your answer.,D,D,A,D,D,A
1801,1801,What is the ideal mechanical advantage in the single fixed pulley?,4,zero,2,1,"In the single fixed pulley, only one rope segment pulls up on the load, so the ideal mechanical advantage is 1. In other words, this type of pulley doesn’t increase the force that is applied to it. However, it does change the direction of the force. This allows you to use your weight to pull on one end of the rope and more easily raise the load attached to the other end.",D,D,B,D,A,A
1803,1803,What is driven by the sun's energy and moves water over the surface of earth?,weather cycle,sun cycle,tides,the water cycle,"The Sun heats some areas more than others, which causes wind. The Sun's energy also drives the water cycle, which moves water over the surface of the Earth. Both wind and water power can be used as renewable resources.",D,D,C,A,A,D
1804,1804,What are materials that are poor thermal conductors called?,warmth insulators,pollution insulators,sunlight insulators,thermal insulators,"Particles of gases are farther apart and have fewer collisions, so they are not good at transferring thermal energy. Materials that are poor thermal conductors are called thermal insulators . Figure below shows several examples. Fluffy yellow insulation inside the roof of a home is full of air. The air prevents the transfer of thermal energy into the house on hot days and out of the house on cold days. A puffy down jacket keeps you warm in the winter for the same reason. Its feather filling holds trapped air that prevents energy transfer from your warm body to the cold air outside. Solids like plastic and wood are also good thermal insulators. That’s why pot handles and cooking utensils are often made of these materials.",D,A,D,D,A,A
1809,1809,Name the most famous satellite of the earth?,sputnik,demos,skylab,the moon,,A,A,D,A,A,D
1826,1826,"When a solid substance is involved in a chemical reaction, only the matter from which part of the solid is exposed to other reactants?",the interior,the top,the base,the surface,"When a solid substance is involved in a chemical reaction, only the matter at the surface of the solid is exposed to other reactants. If a solid has more surface area, more of it is exposed and able to react. Therefore, increasing the surface area of solid reactants increases the reaction rate. For example, crushing a solid into a powder exposes more of the substance to other reactants. This may greatly speed up the reaction. You can see another example in Figure below . Iron rusts when it combines with oxygen in the air. The iron hammer head and iron nails will both rust eventually. Which will rust faster?.",B,D,A,D,A,A
1828,1828,The process where eroded material is dropped somewhere is called?,diffusion,maturation,diffusion,deposition,"Erosion and deposition are responsible for many landforms. Erosion is the transport of sediments. Agents of erosion include flowing water, waves, wind, ice, or gravity. Eroded material is eventually dropped somewhere else. This is called deposition .",D,D,C,A,D,A
1829,1829,What was the first amino acid to be isolated?,glutathione,histamine,histon,asparagine,"The first amino acid to be isolated was asparagine in 1806. It was obtained from protein found in asparagus juice (hence the name). Glycine, the major amino acid found in gelatin, was named for its sweet taste (Greek glykys, meaning “sweet”). In some cases an amino acid found in a protein is actually a derivative of one of the common 20 amino acids (one such derivative is hydroxyproline). The modification occurs after the amino acid has been assembled into a protein.",A,D,A,A,A,A
1830,1830,Where is the food stored before being mixed with the chyme?,top of the stomach,hemispherical of the stomach,histopathology of the stomach,fundus of the stomach,"Chemical Digestion The fundus plays an important role, because it stores both undigested food and gases that are released during the process of chemical digestion. Food may sit in the fundus of the stomach for a while before being mixed with the chyme. While the food is in the fundus, the digestive activities of salivary amylase continue until the food begins mixing with the acidic chyme. Ultimately, mixing waves incorporate this food with the chyme, the acidity of which inactivates salivary amylase and activates lingual lipase. Lingual lipase then begins breaking down triglycerides into free fatty acids, and mono- and diglycerides. The breakdown of protein begins in the stomach through the actions of HCl and the enzyme pepsin. During infancy, gastric glands also produce rennin, an enzyme that helps digest milk protein. Its numerous digestive functions notwithstanding, there is only one stomach function necessary to life: the production of intrinsic factor. The intestinal absorption of vitamin B12, which is necessary for both the production of mature red blood cells and normal neurological functioning, cannot occur without intrinsic factor. People who undergo total gastrectomy (stomach removal)—for life-threatening stomach cancer, for example—can survive with minimal digestive dysfunction if they receive vitamin B12 injections. The contents of the stomach are completely emptied into the duodenum within 2 to 4 hours after you eat a meal. Different types of food take different amounts of time to process. Foods heavy in carbohydrates empty fastest, followed by highprotein foods. Meals with a high triglyceride content remain in the stomach the longest. Since enzymes in the small intestine digest fats slowly, food can stay in the stomach for 6 hours or longer when the duodenum is processing fatty chyme. However, note that this is still a fraction of the 24 to 72 hours that full digestion typically takes from start to finish.",A,D,A,A,A,A
1837,1837,Phototrophic organisms capture light energy from the sun and convert it into what type of energy inside their cells?,radiation energy,solar power,mechanical energy,chemical energy,Phototrophic organisms capture light energy from the sun and convert it into chemical energy inside their cells.,C,D,C,C,D,D
1839,1839,How many bones make up an adult human skeleton?,186,244,130,206,"The adult human skeleton includes 206 bones and other tissues. It supports the body, protects internal organs, produces blood cells, and maintains mineral homeostasis.",A,A,C,A,D,C
1841,1841,What is the term for the height of the wave?,vibration,magnitude,frequency,amplitude,(A) A wave consists of alternation crests and troughs. The wavelength (λ) is defined as the distance between any two consecutive identical points on the waveform. The amplitude is the height of the wave. (B) A wave with a short wavelength (top) has a high frequency because more waves pass a given point in a certain amount of time. A wave with a longer wavelength (bottom) has a lower frequency.,D,D,C,C,D,A
1857,1857,What type of light has shorter wavelengths than visible light and has enough energy to kill bacteria?,reflected light,luminescence,infrared,ultraviolet,"Mid-wavelength electromagnetic waves are called light. Light consists of visible, infrared, and ultraviolet light. Humans can see only visible light. Infrared light has longer wavelengths than visible light and is perceived as warmth. Ultraviolet light has shorter wavelengths than visible light and has enough energy to kill bacteria. It can also harm the skin.",B,D,B,B,B,D
1860,1860,The body contains how many types of muscle tissue?,four,two,seven,three,"38.4 Muscle Contraction and Locomotion The body contains three types of muscle tissue: skeletal muscle, cardiac muscle, and smooth muscle. Skeleton muscle tissue is composed of sarcomeres, the functional units of muscle tissue. Muscle contraction occurs when sarcomeres shorten, as thick and thin filaments slide past each other, which is called the sliding filament model of muscle contraction. ATP provides the energy for cross-bridge formation and filament sliding. Regulatory proteins, such as troponin and tropomyosin, control cross-bridge formation. Excitation–contraction coupling transduces the electrical signal of the neuron, via acetylcholine, to an electrical signal on the muscle membrane, which initiates force production. The number of muscle fibers contracting determines how much force the whole muscle produces.",D,D,B,A,B,D
1861,1861,The eyes of all vertebrates possess a single one of these structures?,stalk,vessel,sty,lens,,D,A,D,A,D,A
1866,1866,Many genetic disorders are caused by mutations in one or a few of?,blood cells,lesions,organs,genes,Many genetic disorders are caused by mutations in one or a few genes.,D,D,C,D,D,D
1871,1871,How does a reduced sweating ability affect elderly people?,less energy,loss of mental ability,extreme tiredness,extreme heat intolerance,"The accessory structures also have lowered activity, generating thinner hair and nails, and reduced amounts of sebum and sweat. A reduced sweating ability can cause some elderly to be intolerant to extreme heat. Other cells in the skin, such as melanocytes and dendritic cells, also become less active, leading to a paler skin tone and lowered immunity. Wrinkling of the skin occurs due to breakdown of its structure, which results from decreased collagen and elastin production in the dermis, weakening of muscles lying under the skin, and the inability of the skin to retain adequate moisture. Many anti-aging products can be found in stores today. In general, these products try to rehydrate the skin and thereby fill out the wrinkles, and some stimulate skin growth using hormones and growth factors. Additionally, invasive techniques include collagen injections to plump the tissue and injections of BOTOX® (the name brand of the botulinum neurotoxin) that paralyze the muscles that crease the skin and cause wrinkling.",C,D,C,D,D,D
1877,1877,What measurement is used to describe the amount of water vapor in the air?,heat,precipitation,barometric pressure,humidity,Humidity is the amount of water vapor in the air. Relative humidity is the percent of water vapor in the air relative to the total amount the air can hold. The total amount depends on temperature.,C,D,C,C,B,A
1881,1881,What is the difference in voltage across a resistor or other electrical devices called?,power drop,volt effect,falling voltage,voltage drop,"The name electric current is the name given to the phenomenon that occurs when an electric field moves down a wire at close to the speed of light. Voltage is the electrical energy density that causes the electric current. Resistance is the amount a device in the wire resists the flow of current by converting electrical energy into other forms of energy. A device, the resistor, could be a light bulb, transferring electrical energy into heat and light or an electric motor that converts electric energy into mechanical energy. The difference in Voltage across a resistor or other electrical device is called the voltage drop.",D,D,C,D,D,D
1887,1887,Electrons are always added to which energy level first?,the major,the highest,the second,the lowest,"Electrons are always added to the lowest energy level first until it has the maximum number of electrons possible, and then electrons are added to the next higher energy level until that level is full, and so on. The maximum number of electrons at a given energy level depends on its number of orbitals. There are at most two electrons per orbital.",A,A,D,A,A,B
1892,1892,What field of study is called the language of science?,physics,logic,linguistics,mathematics,"The field of science has gotten so big that it is common to separate it into more specific fields. First, there is mathematics, the language of science. All scientific fields use mathematics to express themselves—some more than others. Physics and astronomy are scientific fields concerned with the fundamental interactions between matter and energy. Chemistry, as defined previously, is the study of the interactions of matter with other matter and with energy. Biology is the study of living organisms, while geology is the study of the earth. Other sciences can be named as well. Understand that these fields are not always completely separate; the boundaries between scientific fields are not always readily apparent. Therefore, a scientist may be labeled a biochemist if he or she studies the chemistry of biological organisms. Finally, understand that science can be either qualitative or quantitative. Qualitative implies a description of the quality of an object. For example, physical properties are generally qualitative descriptions: sulfur is yellow, your math book is heavy, or that statue is pretty. A quantitative description represents the specific amount of something; it means knowing how much of something is present, usually by counting or measuring it. As such, some quantitative descriptions would include 25 students in a class, 650 pages in a book, or a velocity of 66 miles per hour. Quantitative expressions are very important in science; they are also very important in chemistry.",D,D,B,B,D,D
1902,1902,How much unpolarized light does a polarized filter block?,100%,40 %,60 %,50%,"Polarized filters block 50% of unpolarized light. If two filters are oriented so that their polarization axes are aligned, how much light is transmitted? What about if their axes are oriented perpendicular to each other? Draw two diagrams below to support your answers.",C,D,A,C,A,D
1909,1909,What causes lightning during a thunderstorm?,difference in temperature,difference in wind,difference in elevation,difference in charge,"During a thunderstorm, some parts of a thunderhead become negatively charged. Other parts become positively charged. The difference in charge creates lightning. Lightning is a huge release of electricity. Lightning can jump between oppositely charged parts of the same cloud, between one cloud and another, or between a cloud and the ground. You can see lightning in Figure below . Lightning blasts the air with energy. The air heats and expands so quickly that it explodes. This creates the loud sound of thunder .",D,A,D,C,A,A
1915,1915,What are the most numerous and diverse biochemical compounds?,vitamins,lipids,acids,proteins,Proteins are the most numerous and diverse biochemical compounds. They have many different functions.,D,D,A,C,D,A
1917,1917,How many centimeters are in a meter?,1000,50,200,100,500. mm is equivalent to 0.5 m.,C,A,D,D,D,A
1938,1938,What is the sun classified as on the main sequence?,gas giant,shrinking star,red dwarf,yellow dwarf,Producers create food energy. They are the base of all life on Earth. Most producers use photosynthesis but a very small number use chemosynthesis.,D,D,B,A,D,D
1939,1939,The term science comes from a latin word that means?,only knowledge,were knowledge,having information,having knowledge,"Understanding the ""hows"" and ""whys"" of the world is the goal of science. The term science comes from a Latin word that means ""having knowledge. "" But science is as much about adding to knowledge as it is about having knowledge. Science is a way of thinking as well as a set of facts. Science can be defined as a way of learning about the natural world that is based on evidence and logic.",D,D,A,A,D,A
1947,1947,What line of latitude is an equal distance from both the north and south poles?,mid-part,divider,meridian,equator,"Lines of latitude circle around Earth. The Equator is a line of latitude right in the middle of the planet. Latitude is divided into degrees: 90° north of the Equator and 90° south of the Equator. One degree is subdivided into 60 minutes. One minute is subdivided into 60 seconds. The Equator is at 0°. The Equator is an equal distance from both the North and South Poles. If you know your latitude, you know how far you are north or south of the Equator.",A,A,D,A,A,A
1950,1950,The reaction rate usually increases as the concentration of what increases?,complexes,generators,mutations,reactants,"Concentration Effects Two substances cannot possibly react with each other unless their constituent particles (molecules, atoms, or ions) come into contact. If there is no contact, the reaction rate will be zero. Conversely, the more reactant particles that collide per unit time, the more often a reaction between them can occur. Consequently, the reaction rate usually increases as the concentration of the reactants increases. One example of this effect is the reaction of sucrose (table sugar) with sulfuric acid, which is shown in Figure 14.1 ""The Effect of Concentration on Reaction Rates"".",D,D,C,B,A,B
1955,1955,What do jellyfish lack in their nervous system?,Cortex,stimulus,Response,true brain,"Nervous systems throughout the animal kingdom vary in structure and complexity, as illustrated by the variety of animals shown in Figure 35.2. Some organisms, like sea sponges, lack a true nervous system. Others, like jellyfish, lack a true brain and instead have a system of separate but connected nerve cells (neurons) called a “nerve net. ” Echinoderms such as sea stars have nerve cells that are bundled into fibers called nerves. Flatworms of the phylum Platyhelminthes have both a central nervous system (CNS), made up of a small “brain” and two nerve cords, and a peripheral nervous system (PNS) containing a system of nerves that extend throughout the body. The insect nervous system is more complex but also fairly decentralized. It contains a brain, ventral nerve cord, and ganglia (clusters of connected neurons). These ganglia can control movements and behaviors without input from the brain. Octopi may have the most complicated of invertebrate nervous systems—they have neurons that are organized in specialized lobes and eyes that are structurally similar to vertebrate species.",D,A,D,A,D,D
1958,1958,"If an abnormal cell is not prevented from dividing and it divides uncontrollably, what forms?",edema,cyst,inflammation,tumor,"In panel A, an abnormal cell (2) is prevented from dividing, and the abnormal cell dies (1). In panel B, an abnormal cell is not prevented from dividing. Instead, it divides uncontrollably, leading to the formation of a tumor.",C,D,C,A,D,A
1961,1961,What law states that energy cannot be created or destroyed?,difference of energy,deposit of energy,conservation of force,conservation of energy,"In any chemical reaction, there is no overall change in the amount of energy. Energy cannot be created or destroyed. This is the law of conservation of energy.",A,A,D,A,A,A
1962,1962,How do mammals generate heat?,maintaning low metabolism,running around fast,eating spicy foods,maintaining high metabolism,"Mammals generate heat mainly by maintaining a high rate of metabolism. Compared with the cells of other animals, the cells of mammals have more mitochondria. Mitochondria are the cell organelles that generate energy. Mammals may also produce little bursts of heat by shivering. Shivering occurs when many muscles all contract slightly at the same time. The muscle contractions generate a small amount of heat.",A,D,A,A,A,A
1965,1965,"Which is the active ingredient of cereal crop disease, ergot?",pixelation acid,byblis acid,amino acid,lysergic acid,"Plant Parasites and Pathogens The production of sufficient good-quality crops is essential to human existence. Plant diseases have ruined crops, bringing widespread famine. Many plant pathogens are fungi that cause tissue decay and eventual death of the host (Figure 24.25). In addition to destroying plant tissue directly, some plant pathogens spoil crops by producing potent toxins. Fungi are also responsible for food spoilage and the rotting of stored crops. For example, the fungus Claviceps purpurea causes ergot, a disease of cereal crops (especially of rye). Although the fungus reduces the yield of cereals, the effects of the ergot's alkaloid toxins on humans and animals are of much greater significance. In animals, the disease is referred to as ergotism. The most common signs and symptoms are convulsions, hallucination, gangrene, and loss of milk in cattle. The active ingredient of ergot is lysergic acid, which is a precursor of the drug LSD. Smuts, rusts, and powdery or downy mildew are other examples of common fungal pathogens that affect crops.",A,D,A,A,A,A
1972,1972,The law of conservation mass states that matter cannot be created or what?,observed,changed,moved,destroyed,The law of conservation of mass states that matter cannot be created or destroyed.,D,D,C,A,D,D
1980,1980,What happens to cells in a hypertonic solution as water leaves the cell via osmosis?,self destruction,get larger,evaporation,shrinkage,"The movement of water molecules is not itself regulated by cells, so it is important that cells are exposed to an environment in which the concentration of solutes outside of the cells (in the extracellular fluid) is equal to the concentration of solutes inside the cells (in the cytoplasm). Two solutions that have the same concentration of solutes are said to be isotonic (equal tension). When cells and their extracellular environments are isotonic, the concentration of water molecules is the same outside and inside the cells, and the cells maintain their normal shape (and function). Osmosis occurs when there is an imbalance of solutes outside of a cell versus inside the cell. A solution that has a higher concentration of solutes than another solution is said to be hypertonic, and water molecules tend to diffuse into a hypertonic solution (Figure 3.8). Cells in a hypertonic solution will shrivel as water leaves the cell via osmosis. In contrast, a solution that has a lower concentration of solutes than another solution is said to be hypotonic, and water molecules tend to diffuse out of a hypotonic solution. Cells in a hypotonic solution will take on too much water and swell, with the risk of eventually bursting. A critical aspect of homeostasis in living things is to create an internal environment in which all of the body’s cells are in an isotonic solution. Various organ systems, particularly the kidneys, work to maintain this homeostasis.",D,D,C,A,C,D
1987,1987,Which process helps deaminate amino acids?,caramelization,deactivation,bromination,transamination,"The Fate of the Carbon Skeleton Any amino acid can be converted into an intermediate of the citric acid cycle. Once the amino group is removed, usually by transamination, the α-keto acid that remains is catabolized by a pathway unique to that acid and consisting of one or more reactions. For example, phenylalanine undergoes a series of six reactions before it splits into.",C,D,C,C,C,A
1992,1992,After cell division what are the two new cells called?,step cells,offspring cells,production cells,daughter cells,"Cell division is the process in which a cell divides to form two new cells. The original cell is called the parent cell. The two new cells are called daughter cells. All cells contain DNA. DNA is the nucleic acid that stores genetic information. Before a cell divides its DNA must be copied. That way, each daughter cell gets a complete copy of the parent cell’s genetic material.",D,D,C,D,C,D
1997,1997,When naming this type of ion the ending of the element’s name is dropped and replaced with the – ide suffix?,cations,amines,oxides,anions,"Naming anions is slightly different than naming cations. The ending of the element’s name is dropped and replaced with the – ide suffix. For example, F - is the fluoride ion, while O 2- is the oxide ion. As is the case with cations, the charge on the anion is indicated by a superscript following the symbol. Common anions are listed in the Table below :.",A,A,C,A,A,D
1998,1998,What is a random change in an organism's genes?,accumulation,meiosis,infection,mutation,"At some time in the past, a variation probably came from a mutation. A mutation is a random change in an organism's genes ( Figure below ). Mutations are natural. Some are harmful, but many are neutral. If a mutation is harmful, the organism may not live to reproduce. If the mutation is beneficial, that organism may have a better chance to survive. An organism that survives is likely to have offspring. If it does, it may pass the mutation on to its offspring. The offspring may be more likely to survive.",D,D,M,A,A,A
1999,1999,"Osseous tissue - the connective tissue that includes specialized cells, mineral salts, and collagen fibers - makes up what?",ligaments,muscles,spine,bone,"38.2 Bone Bone, or osseous tissue, is connective tissue that includes specialized cells, mineral salts, and collagen fibers. The human skeleton can be divided into long bones, short bones, flat bones, and irregular bones. Compact bone tissue is composed of osteons and forms the external layer of all bones. Spongy bone tissue is composed of trabeculae and forms the inner part of all bones. Four types of cells compose bony tissue: osteocytes, osteoclasts, osteoprogenitor cells, and osteoblasts. Ossification is the process of bone formation by osteoblasts. Intramembranous ossification is the process of bone development from fibrous membranes. Endochondral ossification is the process of bone development from hyaline cartilage. Long bones lengthen as chondrocytes divide and secrete hyaline cartilage. Osteoblasts replace cartilage with bone. Appositional growth is the increase in the diameter of bones by the addition of bone tissue at the surface of bones. Bone remodeling involves the processes of bone deposition by osteoblasts and bone resorption by osteoclasts. Bone repair occurs in four stages and can take several months.",D,D,b,D,B,b
2010,2010,Mutualism is a symbiotic relationship in which both species do what?,reproduce,die,suffer,benefit,Mutualism is a symbiotic relationship in which both species benefit. An example of mutualism is pictured in Figure below . The clownfish in the photo is hiding among the tentacles of a sea anemone. The tentacles have stingers that can inject poison in the anemone’s prey. The clownfish is protected from the stingers by mucus that covers its body.,D,D,A,D,A,A
2015,2015,Which type of glaciers form in high mountains and travel through valleys?,seaside glaciers,rocky glaciers,altitude glaciers,alpine glaciers,Continental glaciers form in a central location with ice moving outward in all directions. Alpine glaciers form in high mountains and travel through valleys. Ice caps cover large areas.,D,D,B,A,A,A
2016,2016,What two types of junctions do animal cells have?,standard and specialized,gap and solid,loose and tight,tight and gap,,D,D,A,D,D,D
2020,2020,What nullified the idea that all biological catalysts are proteins?,discovery of metabolites,amino acid theory,discovery of enzymes,discovery of ribozymes,,D,D,B,D,B,B
2047,2047,"Which direction does the sun, moon, and stars appear to travel?",north to south,south to north,west to east,east to west,"Sun, Moon, and stars appear to travel from east to west each day.",D,A,D,D,A,A
2053,2053,What does the human heart do?,make blood,destroy blood,use blood,pump blood,"The heart of a resting adult pumps blood at a rate of 5.00 3 L/min. (a) Convert this to cm /s . (b) What is this rate in m 3 /s ? 3. Blood is pumped from the heart at a rate of 5.0 L/min into the aorta (of radius 1.0 cm). Determine the speed of blood through the aorta. Blood is flowing through an artery of radius 2 mm at a rate of 40 cm/s. Determine the flow rate and the volume that passes through the artery in a period of 30 s. The Huka Falls on the Waikato River is one of New Zealand’s most visited natural tourist attractions (see Figure 12.29). On average the river has a flow rate of about 300,000 L/s. At the gorge, the river narrows to 20 m wide and averages 20 m deep. (a) What is the average speed of the river in the gorge? (b) What is the average speed of the water in the river downstream of the falls when it widens to 60 m and its depth increases to an average of 40 m?.",B,D,A,A,A,A
2067,2067,What type of animal that eats only or mainly insects?,herbivores,anaerobic,invertebrates,heterotrophic,heterotrophic animal that eats only or mainly insects.,B,D,B,D,D,B
2081,2081,Dermal tissue covers the outside of a plant in a single layer of cells called what?,cuticle,cambium layer,scales,the epidermis,"Dermal tissue covers the outside of a plant in a single layer of cells called the epidermis . You can think of the epidermis as the plant’s skin. It mediates most of the interactions between a plant and its environment. Epidermal cells secrete a waxy substance called cuticle , which coats, waterproofs, and protects the above-ground parts of plants. Cuticle helps prevent water loss, abrasions, infections, and damage from toxins.",A,D,A,A,A,A
2090,2090,How many electrons are in the hydrogen atom?,three,five,two,one,"For the hydrogen atom, there is no problem since there is only one electron in the H atom. However, when we get to helium we see that the first three quantum numbers for the two electrons are the same: same energy level, same spherical shape. What differentiates the two helium electrons is their spin. One of the electrons has spin while the other electron has spin. So the two electrons in the 1s orbital are each unique and distinct from one another because their spins are different. This observation leads to the Pauli exclusion principle , which states that no two electrons in an atom can have the same set of four quantum numbers. The energy of the electron is specified by the principal, angular momentum, and magnetic quantum numbers. If those three numbers are identical for two electrons, the spin numbers must be different in order for the two electrons to be differentiated from one another. The two values of the spin quantum number allow each orbital to hold two electrons. The figure below shows how the electrons are indicated in a diagram.",B,A,B,B,A,B
2095,2095,"Humans have about 20,000 to 22,000 genes scattered among 23 of these?",atoms,neutrons,ribosomes,chromosomes,"The nucleus is a membrane-enclosed organelle found in most eukaryotic cells. The nucleus is the largest organelle in the cell and contains most of the cell's genetic information (mitochondria also contain DNA, called mitochondrial DNA, but it makes up just a small percentage of the cell’s overall DNA content). The genetic information, which contains the information for the structure and function of the organism, is found encoded in DNA in the form of genes. A gene is a short segment of DNA that contains information to encode an RNA molecule or a protein strand. DNA in the nucleus is organized in long linear strands that are attached to different proteins. These proteins help the DNA to coil up for better storage in the nucleus. Think how a string gets tightly coiled up if you twist one end while holding the other end. These long strands of coiled-up DNA and proteins are called chromosomes. Each chromosome contains many genes. Humans have about 20,000 to 22,000 genes scattered among 23 chromosomes.",A,A,D,D,D,D
2133,2133,The fight or flight response and similar responses are controlled by what part of the nervous system?,central nervous system,cells,spinal cord,autonomous,"Image copyright CREATISTA, 2014. The autonomous nervous system controls responses such as fight or flight . Used under license from Shutterstock. com.",A,D,A,D,D,A
2134,2134,Deposition refers to when a gas changes to what state?,plasma,half liquid half gas,liquid,solid,Deposition is the change of state from a gas to a solid.,C,D,C,D,C,A
2156,2156,"What are used to lift large masses of magnetic materials such as scrap iron, rolls of steel, and auto parts?",screws,Glue,Tape,electromagnets,"Electromagnets find use in many practical applications. Electromagnets are used to lift large masses of magnetic materials such as scrap iron, rolls of steel, and auto parts.",D,D,E,D,D,A
2157,2157,Carbon behaves as a metal because it conducts which two things well?,electricity and oxygen,heat and magnetism,heat and water,heat and electricity,Carbon behaves as a metal because it conducts heat and electricity well. It is a nonmetal because it is black and brittle and cannot be made into sheets or wires.,D,D,C,D,A,C
2171,2171,"What is used during filtration to push fluids and solutes, from higher pressure areas to lower pressure areas?",magnesium pressure gradient,constructs pressure gradient,limited pressure gradient,hydrostatic pressure gradient,"Another mechanism besides diffusion to passively transport materials between compartments is filtration. Unlike diffusion of a substance from where it is more concentrated to less concentrated, filtration uses a hydrostatic pressure gradient that pushes the fluid—and the solutes within it—from a higher pressure area to a lower pressure area. Filtration is an extremely important process in the body. For example, the circulatory system uses filtration to move plasma and substances across the.",A,D,C,A,A,A
2178,2178,What kind of conditions are often inherited as simple recessive traits?,genetic neurotransmitters,genetic diversivers,genetic ratios,genetic disorders,,D,D,C,D,D,D
2180,2180,What is the type of reproduction where part of the parent plant is used to generate a new plant?,byproduct reproduction,sexual reproduction,coaxed reproduction,asexual reproduction,"32.3 Asexual Reproduction Many plants reproduce asexually as well as sexually. In asexual reproduction, part of the parent plant is used to generate a new plant. Grafting, layering, and micropropagation are some methods used for artificial asexual reproduction. The new plant is genetically identical to the parent plant from which the stock has been taken. Asexually reproducing plants thrive well in stable environments. Plants have different life spans, dependent on species, genotype, and environmental conditions. Parts of the plant, such as regions containing meristematic tissue, continue to grow, while other parts experience programmed cell death. Leaves that are no longer photosynthetically active are shed from the plant as part of senescence, and the nutrients from these leaves are recycled by the plant. Other factors, including the presence of hormones, are known to play a role in delaying senescence.",C,D,A,C,A,A
2182,2182,What two phases does the cell cycle consist of?,outerphase and mitotic,antecedent and mitotic,mitosis and mitotic,interphase and mitotic,"Figure 10.5 The cell cycle consists of interphase and the mitotic phase. During interphase, the cell grows and the nuclear DNA is duplicated. Interphase is followed by the mitotic phase. During the mitotic phase, the duplicated chromosomes are segregated and distributed into daughter nuclei. The cytoplasm is usually divided as well, resulting in two daughter cells.",A,A,D,D,A,A
