,question,distractor3,distractor1,distractor2,correct_answer,support,small
996,"Protists, fungi, animals, and plants all consist of what kind of cells?",parenchyma,xylem,enzymes,eukaryotic,,D
1000,Insulin is made up of how many polypeptide chains?,twelve,three,four,two,,A
1004,What is a substance that can not be broken down any further into other substances?,unbreakable substance,pure molecule,pure material,pure substance,pure substance that cannot be broken down into other types of substances.,D
1010,What is it in bone marrow transplants that may cause a graft versus host reaction?,cancer,tumors,neutrophils,lymphocytes,,D
1017,"The nucleolus, which makes ribosomes, is located within what cell structure?",epidermis,mitochondria,Golgi apparatus,nucleus,"The nucleolus, which makes ribosomes, is also within the nucleus.",D
1031,What is the pressure of gas in a gas mixture termed?,partial energy,gaseous energy,gaseous pressure,partial pressure,The pressure of a gas in a gas mixture is termed the partial pressure.,D
1041,Branching food chains and complex trophic interactions form what?,food trees,food fields,food maps,food webs,,D
1042,The chemical behavior of elements can largely be explained by what?,neutron configuration,chemical configuration,proton configuration,electron configurations,The chemical behavior of elements can largely be explained by electron configurations.,D
1048,"If a sedimentary rock layer is not horizontal, what is it?",igneous,striated,mineralized,deformed,Sedimentary rock layers that are not horizontal are deformed.,D
1050,What type of plant tissue transports water and dissolved mineral upward to the leaves?,phloem,collagen,ectoderm,xylem,Xylem carries water and dissolved minerals from the roots upward to the leaves.,D
1051,What can lenses be used to make?,comparison representations,aspect representations,function representations,visual representations,"Lenses can be used to make visual representations, called images .",D
1055,What theory explains the physical behavior of gases?,quantum theory of gases,thermodynamic theory of gases,relativity theory of gases,kinetic theory of gases,The physical behavior of gases is explained by the kinetic theory of gases.,D
1062,Proto-oncogenes normally help regulate what?,cell function,cell transition,cell death,cell division,,D
1070,What part of the plant has a root end and a shoot end?,pistol,radius,leaves,axis,,A
1071,"Hardness, density, color, and melting and boiling points are all considered what types of properties?",thermal,chemical,visible,physical,"Physical properties include color, density, hardness, and melting and boiling points.",D
1079,What do vertebrates possess that is made up of repeating bony units?,spinal cord,notochord,skull,vertebral column,repeating bony units that make up the vertebral column of vertebrates.,D
1080,How long does it take for earth to rotate on it's axis one time?,26 hours,6 hours,12 hours,24 hours,Earth rotates on its axis every 24 hours.,D
1081,In what system can energy change forms but the total amount of energy stay constant?,heterogeneous,open,primary,closed,"In a closed system, energy may change forms but the total amount of energy is constant.",D
1096,The effects of which kind of selection are larger than the effects of direct natural selection on individuals?,unnatural selection,topical selection,stranger selection,kin selection,,D
1101,Single bonds allow the atoms they join to rotate freely about the what?,atomic orbit,nucleus,electron shell,bond axis,,D
1105,"Radar maps of venus show that it has mountains, canyons and volcanoes surrounded by plains of what?",water,helium,grasses,lava,"Radar maps of Venus show that it has mountains, canyons and volcanoes surrounded by plains of lava.",D
1113,What chambers are responsible for pumping blood out of the heart?,valves,vacuoles,cells,ventricles,,D
1124,What are the building blocks of peptides?,rocks,alkali,magnets,amino acids,A peptide is composed of two or more amino acids. Amino acids are the building blocks of peptides.,D
1127,Prostaglandins worsen what by increasing nociceptor sensitivity to noxious stimuli?,inflammation,recovery time,reaction speed,pain,,D
1142,What kind of core does mercury have?,dense metal,solid metal,gas,liquid metal,Mercury is extremely hot and has a liquid metal core.,D
1146,Which part of the plant conduct water and minerals as well as anchor the plant.,stem,leaves,cilia,roots,,A
1156,What are unique in having adaptive immunity in addition to innate immunity?,organelles,invertebrates,cells,vertebrates,,D
1157,All three axes are established before the zygote begins to undergo what?,twinning,cloning,birth,cleavage,,D
1164,What do animals observe in others to help solve problems?,patterns,communication,function,behavior,,C
1166,Where is the only place an electric charge can be found?,neuron,translator,ion,conductor,Electric charge is found only in a conductor.,D
1175,Worms use a hydrostatic type of what anatomical structure to move through their environment?,tail,gastrointestinal system,head,skeleton,,C
1181,What are compounds formed by ionic bonds called?,mixed compounds,nuclear compounds,layered compounds,ionic compounds (salts),,D
1182,What kind of diagrams can be used to illustrate electron movements and ion formation?,contour maps,venn diagrams,atomic models,electron dot diagrams,Electron dot diagrams can be used to illustrate electron movements and ion formation.,D
1185,Sex-linked traits are located on genes on what chromosomes?,dna,reactive,neural,sex,Sex-linked traits are located on genes on the sex chromosomes.,D
1188,The intermolecular structure of what has spaces that are not present in liquid water?,vapor,distillate,condensation,ice,The intermolecular structure of ice has spaces that are not present in liquid water.,D
1193,Oncogenes are involved in the formation of what disease?,colds,autoimmune disease,heart disease,cancer,Oncogenes are genes involved in cancer formation.,D
1196,Melanocytes are located in which layer of the epidermis?,crust,follicle,outer,bottom,Melanocytes are located at the bottom of the epidermis.,D
1197,Soils with higher capacities generally have a larger reserve of what?,protein,hydrogen nutrients,water,mineral nutrients,,B
1199,"Composite cones are steep-sided, cone-shaped types of what, which produce explosive eruptions?",craters,earthquakes,mountains,volcanoes,"Composite cones are steep sided, cone shaped volcanoes that produce explosive eruptions.",D
1203,What is the term for the remains or traces of living organisms?,deposits,remains,ethings,fossils,Fossils are the remains or traces of living organisms.,D
1210,What forms the pathway of water and nutrients from roots to leaves and flower?,the pistil,the stamen,the stigma,the stem,,D
1212,Why is blue cheese blue?,fermentation,artificial dye,bacteria,fungus,Stuart Webster. Blue cheese is blue because of the fungus growing throughout it. . CC BY 2.0.,D
1218,"Occuring throughout the lifespan of the organism, what stages proceed in a certain order?",genetic stages,yearly stages,life effectiveness stages,life cycle stages,,D
1220,"What are most fresh fruits, vegetables, whole grains rich in?",magnesium,calcium,cholesterol,cellulose,,C
1226,What term refers to larger evolutionary changes that result in new species?,substantial evolution,Microevolution,Potential evolution,macroevolution,Macroevolution refers to larger evolutionary changes that result in new species.,D
1231,What are the major sites of gibberellin production?,stem and roots,flower and fruit,soil and leaves,young roots and leaves,,A
1235,"The cecum is the first part of what structure, where wastes in a liquid state enter from the small intestine?",appendix,duodenum,esophagus,large intestine,http://www. explainthatstuff. com/how-geiger-counters-work. html.,C
1238,What forms when water in the atmosphere condenses on dust particles suspended in the air?,wind,hail,snow,clouds,,D
1241,What is it called when liquid water falls from the sky?,erosion,sedimentation,water cycling,precipitation,,D
1244,"Birds generally practice what kind of relationship, with both parents helping to care for the young?",homologous,carnivorous,synonomous,monogamous,"Birds generally are monogamous, and both parents help to care for the young.",D
1246,What is the mass of one mole of any given substance?,solute mass,atomic mass,protons mass,molar mass,Molar mass is the mass of one mole of any given substance.,D
1247,The corona surrounds which major object in our solar system?,Jupiter,Neptune,Earth's moon,the sun,The corona is the halo around the Sun.,D
1249,Metabolism is an emergent property of life that arises from orderly interactions between what?,nutrients,tissues,body systems,molecules,,A
1255,Opposite charges attract and like charges do what?,impede,nothing,rebound,repulse,Opposite charges attract and like charges repulse.,D
1256,What molecules are usually insoluble in water?,ions,polar,acids,non-polar,Non-polar molecules are usually insoluble in water.,D
1258,"If citrate accumulates in mitochondria, some of it passes into where and inhibits phosphofructokinase?",pores,Golgi apparatus,epidermis,cytosol,,D
1260,What two ways do channels respond during membrane depolarization?,typically and sequentially,sequentially and identically,independently and typically,independently and sequentially,,A
1264,"Worldwide, viruses seem to play a role in what percentage of the cases of human cancer?",5%,20 %,+.15 %,15%,,C
1279,"In animals, what process occurs only in germ cells, which are in the ovaries or testes?",reproduction,mitosis,electrolysis,meiosis,,D
1281,What type of carbon dioxide levels have been rising for the past several decades?,subatomic,magnetic,aqueous,atmospheric,Atmospheric carbon dioxide levels have been rising for the past several decades.,D
1282,Freezing rain that falls from the sky is also called?,fog,snowfall,hail,sleet,,D
1289,What term refers to the deliberate prevention of pregnancy?,abortion,reproduction,cessation,contraception,,D
1290,Homologous chromosomes move toward what poles?,octogonal,interior,parallel,opposite,Homologous chromosomes move toward opposite poles of a dividing cell during.,D
1291,Why are the stems of many xerophytes fleshy?,collects water,drains water,pressures water,stores water,,D
1294,Yogurt is made from milk fermented with what type of organism?,algae,viruses,yeast,bacteria,Mom the Barbarian. Yogurt is made from milk fermented with bacteria . CC BY 2.0.,D
1298,"When the number of electrons and the number of protons are equal, the object is what?",static,Negative,Positive,neutral,"When the number of electrons and the number of protons are equal, the object is neutral.",D
1303,What globular protein is used in the construction of the hollow tube?,keratin,actin,cyclin,tubulin,,D
1304,Two important types of energy that can be converted to one another include potential and what?,magnetic,physical,thermal,kinetic,Give examples of energy conversions between potential and kinetic energy.,D
1308,Newly formed what aggregates into threads that form the framework of the clot?,plasma,blood,collagen,fibrin,,D
1310,Average global temperature has been doing what for the past several decades?,stabilizing,fluctuating,falling,rising,Average global temperature has been rising for the past several decades.,D
1312,What is the diploid number for fruit flies?,9,10,7,8,,D
1316,What makes the realized niche of chthamalus much smaller than its fundamental niche?,microscopic competition,instantaneous competition,asexual competition,interspecific competition,,A
1320,"Volcanoes can be active, dormant, or what else?",burgeoning,remnant,still,extinct,"Volcanoes can be active, dormant, or extinct.",D
1339,What does the ground tissue consist mostly of in the stems of both monocots and eudicots?,epenthesis cells,hinterrhein cells,eudiocotic cells,parenchyma cells,,D
1343,Where are integral proteins embedded?,mitochondria,cytoplasm,hemoglobin,libid bilayer,,A
1344,Skeletal muscles are attached to bones by what?,veins,plasma,enzymes,tendons,Skeletal muscles are attached to bones by tendons.,D
1348,What consists of all the living things and nonliving things interacting in the same area?,biome,biodiversity,habitat,ecosystem,An ecosystem consists of all the living things and nonliving things interacting in the same area.,D
1351,"When thinking of the rate at which two gases mix, it is inverse proportional to the density of what?",dioxide,matter,the container,gas,The rate at which two gases mix. Inversely proportional to the density of the gas.,D
1353,"When a seed is produced by apomixis, the embryo develops without what?",infection,infection,stimulation,fertilization,,D
1357,"In a food chain, what group of organisms breaks down animal remains and wastes to get energy?",producers,primary consumers,detritivores,decomposers,Decomposers break down animal remains and wastes to get energy.,D
1359,What organism is the most disruptive towards the diversity of other species?,insects,bacteria,reptiles,humans,,A
1362,Temporal and spatial summation at the axon hillock determines whether a neuron generates what?,false potential,hidden potential,change potential,action potential,,D
1366,What evolutionary concept characterizes a species by body shape and other structural features?,primary speciation,geologic species concept,spontaneous evolution theory,morphological species concept,,D
1394,The logistics of carrying out cellular metabolism sets limits on what physical property of the cell?,layer,surface,composition,size,,C
1396,Covalent bond energies can be used to estimate the enthalpy changes of what?,liquid reactions,crystals reactions,Pressure reactions,chemical reactions,Covalent bond energies can be used to estimate the enthalpy changes of chemical reactions.,D
1397,What type of waste is eliminated from the body through the anus?,liquid,urine,carbon dioxide,solid,solid waste that remains after food is digested and is eliminated from the body through the anus.,D
1403,What is established by the ph differences between the two sides of the blastoderm cells?,proximal axis,posterior axis,cylindrical - ventral axis,dorsal-ventral axis,,A
1404,"During metamorphosis, most salamander species go through what aquatic stage on the way to becoming adults?",anaphase,prophase,metaphase,larval stage,,D
1410,What substances are secreted by specialized cells usually located in endocrine glands?,acid,lipids,protein,hormones,,D
1415,The fluid surrounding cells is hemolymph in insects and other animals with an open type of what system?,pulmonary,lymphatic,vascular,circulatory,,C
1417,What is the process by which undigested food leaves the body?,peristalsis,glycolysis,digestion,egestion,,A
1418,"Because of its composition, oil does not do what in water?",form,explode,separate,dissolve,,D
1420,What move the body by contracting against the skeleton?,nerves,hormones,tissues,muscles,Muscles move the body by contracting against the skeleton.,D
1424,What long molecules are composed of chains of units called monomers?,drummers,complexes,microbes,polymers,Polymers are long molecules composed of chains of units called monomers.,D
1426,Where do biochemical reactions take place?,outside of cells,between cells,in atoms,inside the organisms' cells,Biochemical reactions are chemical reactions that take place inside the cells of organisms.,D
1428,How are voltmeters placed in the circuit?,not parallel,since parallel,after parallel,in parallel,Voltmeters have high resistances and are placed in the circuit in parallel.,D
1431,What process is the primary function of the branching internal tubules called protonephridia?,enculturation,thermoregulation,calcification,osmoregulation,,D
1452,What carries small pollen grains farther than they otherwise would go?,birds,humidity,steam,wind,,D
1455,The hypothalamic releasing and inhibiting hormones are secreted near capillaries at the base of the what?,pancreas,lungs,hippocampus,hypothalamus,,D
1459,What type of response do signal transductions within target cells bring about?,psychological,resporatory,bacterial,physiological,,D
1465,What is the unit of evolution?,a phylum,dna,the cell,the population,The population is the unit of evolution.,D
1470,A salt concentration of 32 percent is nearly ten times that of what abundant resource?,algae,oxygen,fresh water,seawater,,B
1476,Hydrogen peroxide is commonly sold as a 3% by volume solution for use as a what?,surfactant,detergent,antiseptic,disinfectant,Hydrogen peroxide is commonly sold as a 3% by volume solution for use as a disinfectant.,D
1481,What property are alkali metals at room temperature?,solid,mixed,liquid,solid,Alkali metals are all solids at room temperature. They are relatively soft and low in density.,A
1483,All gymnosperm species and many eudicot species undergo what?,third growth,exploitation,mutations,secondary growth,,D
1484,Slow-twitch or fast-twitch and oxidative or glycolytic describe what type of fibers?,capillaries,digestion muscle fibers,coronary muscle fibers,skeletal muscle fibers,,D
1485,Plants have a touch response known as what?,photosynthesis,trichina,pollenation,thigmotropism,,D
1486,What is at the center of our solar system?,the Kuiper Belt,the moon,earth,the sun,The Sun is at the center of the solar system.,D
1490,What organs have tiny tubes leading to and from elastic air sacs that improve airflow and oxygen uptake?,liver,ovaries,apendix,lungs,,D
1493,What evolutionary process does not favor altruistic behavior that causes the death of the altruist?,random selection,flow selection,characteristic selection,natural selection,,D
1500,Bread has little holes in it from carbon dioxide produced by what?,bacteria,sugar,water,yeast,Bread has little holes in it from carbon dioxide produced by yeast.,D
1502,What are fungus like protists?,slime molds and water lilies,lichen and kelp,water molds and mushrooms,slime molds and water molds,Examples of fungus-like protists include slime molds and water molds.,D
1505,What are the two components of a mixture called?,concentration and a solvent,nutrients and a solvent,acid and base,solute and a solvent,Combinations of different substances are called mixtures.,D
1508,What does some amphibians have as juveniles but not as adults living on land?,vertical line system,microscopic line system,kinetic line system,lateral line system,,D
1516,Which organ of the body do large tapeworms attack or block?,kidneys,liver,heart,intestines,,D
1526,The organ systems of the body work together to carry out life processes and maintain what?,consciousness,movement,freshness,homeostasis,The organ systems of the body work together to carry out life processes and maintain homeostasis.,D
1532,A complex interactions of hormones result in an edible fruit that entices animals that help disperse what?,rocks,pests,water,seeds,,D
1533,What are the cells caused that parasites spread through their host?,protists,fungi spores,prokaryotes,sporozoites,,D
1535,The sites of protein synthesis are tiny structures called?,prokaryotes,crystals,protons,ribosomes,,D
1539,How does the number of protons compare to the number of electrons in an electrically neutral atom?,they are triple,they are half,they are double,they are equal,"In an electrically neutral atom, the number of protons equals the number of electrons.",D
1542,With what does cytokinins act in concert to stimulate cell division and influence the pathway of differentiation?,ribosomes,dna,hormone,auxin,,A
1543,Puberty and other physical changes occurs during which stage of development?,adulthood,childhood,infancy,adolescence,Adolescence includes the physical changes of puberty among other changes.,D
1551,Vibrating objects such as drumheads produce what?,heat,negative ions,light,sound energy,Vibrating objects such as drumheads produce sound energy.,D
1552,What two element makes up a hyrdocarbon?,helium and carbon,nitrogen and carbon,hydrogen and carbonite,carbon and hydrogen,The simplest organic compounds are hydrocarbons and are composed of carbon and hydrogen.,D
1566,What is the field of biology that focuses on the study of inheritance in humans?,relational biology,generational biology,computational biology,human genetics,Human genetics is the field of biology that focuses on the study of inheritance in humans.,D
1574,The central vacuole maintains turgor pressure against what?,the cell addition,the cell move,the cell multiplication,the cell wall,The central vacuole maintains turgor pressure against the cell wall.,D
1577,Glycolysis harvests chemical energy by oxidizing glucose to what?,cellulose,chlorophyll,oxygen,pyruvate,9.2 Glycolysis harvests chemical energy by oxidizing glucose to pyruvate.,D
1578,"What is the term for the most abundant species in a community, characterized by high competitive abilities?",carnivores,keystone species,merging species,dominant species,,D
1580,What occurs before the endometrium thickens in estrous cycles?,copulation,fertilization,pregnancy,ovulation,,D
1582,"Hazardous waste is material that is toxic, chemically active, corrosive, or what?",organic,inactive,decomposed,flammable,"Hazardous waste is material that is toxic, chemically active, corrosive, or flammable.",D
1592,Which organelle specific to plant cells is responsible for photosynthesis?,the lipid,the mitochondria,the vacuole,the chloroplast,"Photosynthesis occurs in the chloroplast, an organelle specific to plant cells.",D
1593,What is another word for thermal energy?,temperature,solar,humidity,heat,,D
1594,Roots grow in length and width from the primary and secondary what?,leaf,pistil,frill,meristem,Roots grow in length and width from primary and secondary meristem.,D
1595,What often form symbiotic associations with much larger organisms?,viruses,protists,eukaryotes,prokaryotes,,D
1610,The amount of energy needed to raise the temperature of one gram of liquid water by 1°c is also known as?,Kelvin,mass,calorie,specific heat,State of matter that has a fixed volume and fixed shape.,D
1616,What work together in pairs to bend or straighten a joint?,cartilage tissues,nerve fibers,collagen bands,muscles,Muscles work together in pairs to bend or straighten the joint.,D
1617,What are the outer-shell electrons of an atom called?,helium electrons,outer electrons,organism electrons,valence electrons,Valence electrons are the outer-shell electrons of an atom.,D
1619,What type of tissue runs the length of a stem in vascular bundles?,cardiac tissue,thermal tissue,muscle tissue,vascular tissue,,D
1622,What is water falling from the sky called?,distillation,vaporization,erosion,precipitation,,D
1624,Which part of the axon has a higher membrane potential?,canals hillock,muscular hillock,biofilm hillock,axon hillock,,A
1625,A diploid zygote is formed when one sperm does what?,incapacitates the egg,cracks the egg,repels the egg,fertilizes the egg,,D
1632,Fossil fuels and nuclear power are what type of resource?,reusable,renewable,recurring,nonrenewable,Nonrenewable resources include fossil fuels and nuclear power.,D
1636,What is necessary for new alleles to be created?,new frequencies,cross-pollination,new rna,new mutations,"No new mutations are occurring. Therefore, no new alleles are being created.",D
1638,"Other than nitrogen, which nutrient most often limits marine production?",calcium,potassium,zinc,phosphorus,,D
1639,What astronomical phenomenon is often comprised of remnants of the earliest material that formed in the solar system?,comets,asteroids,particles,meteorites,Many meteorites are remnants of the earliest material that formed in the solar system.,D
1640,Minerals are grouped based on what?,density,carbon composition,mineral composition,chemical composition,Minerals are divided into groups. The groups are based on their chemical composition.,D
1645,What is the smallest unit of matter that still maintains it's properties of being an element?,a proton,a cell,an electron,an atom,,D
1647,"In flowering plants, male gametophytes are in grains of what?",nitrogen,viruses,bacteria,pollen,,D
1649,Snow and rain are forms of what weather?,cold fronts,sediment,evaporation,precipitation,,D
1655,Mutualism is a symbiotic relationship that has what effect on both species involved?,destructive,disadvantageous,harmful,beneficial,Mutualism is a symbiotic relationship in which both species benefit.,D
1657,What types of blood cells are required for aerobic respiration?,large blood cells,white blood cells,grey blood cells,red blood cells,,D
1660,"In heart muscle, what released by neurons activates a signal transduction pathway?",glutamate,dopamine,glucose,acetylcholine,,D
1661,What do some plants produce that protects dormant seeds and aids in their dispersal?,stems,roots,leaves,fruit,,D
1673,What compound is formed when there are sparking electrical equipment?,carbon,water,smog,ozone,"The sharp odor associated with sparking electrical equipment is due, in part, to ozone.",D
1679,What is the lowest level of organization that can perform all activities required for life?,tissues,organs,nucleii,the cell,,D
1683,What do electromagnetic receptors detect?,subtle radiation,dangerous radiation,background radiation,electromagnetic radiation,,A
1689,Most taste buds on the tongue are associated with nipple-shaped projections called what?,cilia,antennae,mucosa,papillae,,D
1695,When is melatonin secreted?,in the morning,in the afternoon,all day,at night,,D
1696,In which phase do the chromosomes duplicate?,mitosis,prophase,metaphase,interphase,,C
1702,What has the average global temperature done since the 1900s?,decreased,stayed constant,changed randomly,risen,Average global temperature has risen since 1900.,D
1711,Each nitrogenous base has one or two rings that include which atoms?,carbon,oxygen,hydrogen,nitrogen,,C
1723,What kind of enzyme is phosphofructokinase?,orthosteric,covalent,intracellular,allosteric,,D
1731,What is the major selective advantage of myelination?,storage capacity,heat regulation,potentiation,space efficiency,,B
1732,What debated therapy offers a potential method for replacing neurons lost to injury or disease?,cell duplication,cell production therapy,stem cell reduction,stem cell therapy,,D
1734,"After dispersal of a seed, what next step may occur if environmental conditions are favorable?",infection,bloom,degradation,germination,,D
1739,"What helps deposit the material in caves as stalactites, stalagmites, and columns",precipitation,gas,wastewater,groundwater,"Groundwater deposits the material in caves as stalactites, stalagmites, and columns.",D
1741,"Plants supply, ultimately, most of the food eaten by terrestrial animals, along with what gas?",carbon dioxide,hydrogen,nitrogen,oxygen,,D
1743,Single-celled eukaryotes that share some traits with animals are also called?,microorganisms,prokaryotes,monomers,eukaryotes,Protozoa are single-celled eukaryotes that share some traits with animals.,D
1747,What is the name for a parasite that causes disease?,microbes,fungi,enfluenza,pathogen,,D
1756,"Different elements differ in the size, mass, and other properties of what fundamental structures?",particles,ions,compounds,atoms,"Atoms of different elements differ in size, mass, and other properties.",D
1759,What type of cells make up tumors?,boyle cells,white blood cells,consumption cells,cancer cells,,D
1760,"When leaves wilt, what plant process ceases?",carbonation,hydration,reactions,photosynthesis,"Photosynthesis ceases when leaves wilt, mainly because.",D
1763,Does blood flow increase or decrease when blood vessels constrict?,it stops,it's not affected,increases,decrease,"When a blood vessel constricts, less blood can flow through it.",D
1767,What is the term for the basic contractile unit of the muscle?,bandimere,filament,sphincter,sarcomere,,D
1771,Where does the heartbeat originate in vertebrates?,the blood,the tissue,the pulse,the heart,,D
1777,What occurs when force is applied to a moving object?,transmission,stimulation,inertia,acceleration,Acceleration occurs when a force is applied to a moving object.,D
1778,"Smooth, cardiac, and skeletal are all types of what?",teeth,hormones,bone,muscle,"The three types of muscles in the body include skeletal muscle, smooth muscle, and cardiac muscle.",D
1785,Amniocentesis and chorionic villus sampling can indicate whether a suspected genetic disorder is present at what stage?,infant,toddler,adult,fetal,,D
1800,The major cause of outdoor air pollution is the burning of?,charcoal briquettes,trees,trash,fossil fuels,The major cause of outdoor air pollution is the burning of fossil fuels.,D
1802,What science is the study of matter and the changes it undergoes?,astronomy,biology,geology,chemistry,Chemistry is the study of matter and the changes it undergoes.,D
1805,Balanced chemical reactions are balanced in what?,electrical charge,atoms,molecular bonds,terms of moles,Balanced chemical reactions are balanced in terms of moles.,D
1808,What element has the atomic number 16?,neon,oxygen,helium,sulfur,,A
1809,Name the most famous satellite of the earth?,sputnik,demos,skylab,the moon,,A
1811,What type of organism is algae?,yeast,virus,amoeba,bacteria (cyanobacteria),Describe why algae is a good source of biofuel.,D
1824,Do motile cilia usually occur in small or large numbers on the cell surface?,small,neither,mixed,large,,D
1831,"What kind of biome or climate might you find very close to the earth's poles, as well as up on high mountains?",taiga,tropical,desert,tundra,Tundra is found near the poles and up on high mountains.,D
1832,What type of waves travel through the body of a planet?,energy waves,vacuum waves,gas waves,body waves,Body waves travel through the body of a planet. Surface waves travel along the surface.,D
1834,"Like skeletal muscle, cardiac muscle is what?",atrophied,cylindrical,tissue,striated,,D
1842,"When a plant has what deficiency, guard cells may lose turgor and close stomata?",air,cold,light,water,,D
1844,What does subduction of a plate lead to?,swell and volcanism,bending and volcanism,pressure and volcanism,melting and volcanism,Subduction of a plate leads to melting and volcanism.,D
1849,What is the simple sugar that living things us to store energy?,chloride,nicotine,brown,glucose,simple sugar that all living things use to store and transport energy.,D
1850,Reversing the orientation of a chromosomal segment is called what?,volatiles,spontaneous mutation,occurrences,inversions,Inversions are reversing the orientation of a chromosomal segment.,D
1851,"What does the clitellum secrete, while the sperm received are stored temporarily?",amoeba of mucus,pathogen of mucus,discharge of mucus,cocoon of mucus,,A
1858,What characteristic of the endothelium structure minimizes resistance to the flow of blood?,transition surface,uneven surface,liquid surface,smooth surface,,D
1859,What type of bonds contain atoms that possess either a partial positive or a partial negative charge?,geologic bonds,hot bonds,ionic bonds,polar bonds,Polar bonds contain atoms that possess either a partial positive or a partial negative charge.,D
1861,The eyes of all vertebrates possess a single one of these structures?,stalk,vessel,sty,lens,,A
1862,The final stage of labor is delivery of the what?,embryo,uterus,umbilical cord,placenta,,D
1866,Many genetic disorders are caused by mutations in one or a few of?,blood cells,lesions,organs,genes,Many genetic disorders are caused by mutations in one or a few genes.,D
1872,What substance do developing seeds produce which promotes fruit growth?,interferon,xenon,pepsin,auxin,,D
1873,Different clouds are associated with different types of what?,zodiac signs,biomes,magnetic fields,weather conditions,,D
1874,The testes produce sperm and secrete what?,estrogen,thyroxine,melanin,testosterone,The testes produce sperm and secrete testosterone.,D
1885,"In an atom, what is determined by electron distribution in shells?",electromagnetism,covalence,ionic bonds,chemical behavior,,D
1890,Which carrier molecule becomes less effective at binding oxygen as temperature increases?,hydrogen,water,helium,hemoglobin,,D
1894,Liquid water changing to water vapor is called?,transpiration,oxidation,respiration,evaporation,,D
1900,Melting ice and grinding wood into sawdust are examples of what?,unpredictable changes,chemical changes,reversible changes,physical changes,Melting ice and grinding wood into sawdust are examples of physical changes.,D
1912,Living things need to take in nutrients so that they can grow and create what?,hydrogen,protein,plasma,energy,,C
1917,How many centimeters are in a meter?,1000,50,200,100,500. mm is equivalent to 0.5 m.,A
1940,"Lymph vessels, like veins, have what objects that prevent the backflow of fluid?",fibers,pumps,pores,valves,,D
1941,Veins subdivide repeatedly and branch throughout what?,stroma,periosteum,epidermis,mesophyll,,A
1957,"What type of flowers offer no reward, such as nectar, to a male wasp?",roses,vines,perennials,ophrys,,D
1972,The law of conservation mass states that matter cannot be created or what?,observed,changed,moved,destroyed,The law of conservation of mass states that matter cannot be created or destroyed.,D
1974,"Although surface waves are slowest, they do most of the damage of what event?",hurricane,tsunami,volcano,earthquake,"Surface waves are the slowest, but they do the most damage in an earthquake.",D
1975,Fruit begins to ripen because what gas is released?,hydrogen,sulfur,chloride,ethylene,,D
1984,How do leaves export sugar to roots and other nonphotosynthetic parts of the plant?,glands,stems,chloroplasts,veins,,A
1986,What are floods a source of on a floodplain?,minerals,salt,acids,nutrients,Floods are a source of nutrients on a floodplain.,D
2000,What is the name of the hollow nerve cord along the back of chordates?,phloem,zetacord,mesoderm,notochord,,D
2001,What term is used to describe the amount of space occupied by a sample of matter?,mass,liquid,growth,volume,Volume is the amount of space occupied by a sample of matter.,D
2002,What are responsible for the bending movements of the organelle?,pores,sporozoans,muscles,dyneins,,D
2011,What do you call a substance that cannot be broken down to other substances by chemical reactions.?,a compound,a participate,a molecule,an element,,D
2016,What two types of junctions do animal cells have?,standard and specialized,gap and solid,loose and tight,tight and gap,,A
2019,Gene expression is regulated primarily at the what level?,binding,manufacturing,translational,transcriptional,Gene expression is regulated primarily at the transcriptional level.,D
2020,What nullified the idea that all biological catalysts are proteins?,discovery of metabolites,amino acid theory,discovery of enzymes,discovery of ribozymes,,D
2021,A tadpole turns into what land mammal?,a pod,a morph,A tortoise.,a frog,,D
2024,What type of rocks are laid down horizontally with the oldest at the bottom?,igneous,crystalline,metamorphic,sedimentary,Sedimentary rocks are laid down horizontally with the oldest at the bottom.,D
2029,Newly duplicated chromosomes are divided into two daughter nuclei during what stage?,prophase,meiosis,symphysis,mitosis,"During mitosis, the newly duplicated chromosomes are divided into two daughter nuclei.",D
2036,Many species in rhizaria are among the organisms referred to as what?,protozoa,fungi,prokaryotes,amoebas,,A
2041,What is the term for the maintenance of a steady state despite internal and external changes?,consciousness,equilibrium,hypothesis,homeostasis,,D
2047,"Which direction does the sun, moon, and stars appear to travel?",north to south,south to north,west to east,east to west,"Sun, Moon, and stars appear to travel from east to west each day.",D
2048,Sulfate is used as a cleaning agent because it is acidic and soluble in what substance?,oxygen,air,salt,water,sulfate is used as a cleaning agent because it is water soluble and acidic.,D
2049,Triceps and biceps muscles in the upper arm are an example of what type of muscle relationship?,competitive,synchronized,symbiotic,opposing,Triceps and biceps muscles in the upper arm are opposing muscles.,D
2050,Internal metabolism and the external environment are the sources of heat for what?,bioaccumulation,hemeostasis,optimization,thermoregulation,,D
2056,Are birds and mammals mainly exothermic or endothermic?,exothermic,autotrophic,hypothermic,endothermic,,D
2059,Pyramids of net production and biomass reflect what level of efficiency?,extreme,high,medium,low,,C
2062,What can be used to speed up biochemical reactions?,carbohydrates,proteins,hormones,enzymes,pH values for several common materials are listed.,D
2067,What type of animal that eats only or mainly insects?,herbivores,anaerobic,invertebrates,heterotrophic,heterotrophic animal that eats only or mainly insects.,D
2107,The weather conditions in an area over time is also called a what?,landscape,biome,habitat,climate,,D
2112,"When a fluorine atom gains an electron, it becomes a negative what?",potassium ion,hydrogen ion,sulfide ion,fluoride ion,"When a fluorine atom gains an electron, it becomes a negative fluoride ion.",D
