,question,distractor3,distractor1,distractor2,correct_answer,support,long,long_a
567,How many cycles do cells have?,seven,six,two,four,"This diagram represents the cell cycle in eukaryotes. The cell cycle depicts the life of an eukaryotic cell. The cell cycle has four phases: the first growth or gap (G 1 ) phase, the synthesis (S) phase, the second growth or gap (G 2 ) phase and the mitotic (M) phase. The M phase includes mitosis and cytokinesis. The cell spends the majority of the cycle in the first three phases (G 1 , S, G 2 ) of the cycle, collectively known as interphase. After cytokinesis, two genetically identical daughter cells are formed.",D,D
570,All matter is composed of tiny indivisible particles called atoms. all atoms of an element are identical in mass and this?,electrical properties,acid properties,liquid properties,chemical properties,"All matter is composed of tiny indivisible particles called atoms. All atoms of an element are identical in mass and chemical properties, whereas atoms of different elements differ in mass and fundamental chemical properties. A chemical compound is a substance that always contains the same atoms in the same ratio. In chemical reactions, atoms from one or more compounds or elements redistribute or rearrange in relation to other atoms to form one or more new compounds. Atoms themselves do not undergo a change of identity in chemical reactions. This last hypothesis suggested that the alchemists’ goal of transmuting other elements to gold was impossible, at least through chemical reactions. We now know that Dalton’s atomic theory is essentially correct, with four minor modifications:.",D,D
573,"What term is used to describe a bond formed by the overlap of orbitals in an end-to-end fashion, with the electron density concentrated between the nuclei of the bonding atoms?",rna bond,beta bond,lattice bond,sigma bond,"It is necessary to distinguish between the two types of covalent bonds in a C 2 H 4 molecule. A sigma bond (σ bond) is a bond formed by the overlap of orbitals in an end-to-end fashion, with the electron density concentrated between the nuclei of the bonding atoms. A pi bond (π bond) is a bond formed by the overlap of orbitals in a side-by-side fashion, with the electron density concentrated above and below the plane of the nuclei of the bonding atoms. Figure below shows the two types of bonding in C 2 H 4 . The sp 2 hybrid orbitals are orange and the p z orbital is green. Three sigma bonds are formed by each carbon atom with its hybrid orbitals. The pi bond is the “second” bond of the double bond between the carbon atoms and is shown as an elongated blue lobe that extends both above and below the plane of the molecule, which contains the six atoms and all of the sigma bonds.",D,D
574,"According to count rumford, which two are equivalent ways of transferring energy?",time and space,addition and multiplication,osmosis and heredity,heat and work,"In the 1780s, an American scientist named Benjamin Thompson, also known as Count Rumford, was hired by the Elector of Bavaria to supervise the manufacture of cannons. During the manufacturing process, teams of horses harnessed to a large-toothed wheel supplied the power needed to drill a hole several inches in diameter straight down the center of a solid brass or bronze cylinder, which was cooled by water. Based on his observations, Rumford became convinced that heat and work are equivalent ways of transferring energy.",D,C
575,What type of radio waves exist in the 540 to 1600 khz frequency range?,fm radio waves,microwaves,sound waves,am radio waves,"AM radio waves are used to carry commercial radio signals in the frequency range from 540 to 1600 kHz. The abbreviation AM stands for amplitude modulation, which is the method for placing information on these waves. (See Figure 24.12. ) A carrier wave having the basic frequency of the radio station, say 1530 kHz, is varied or modulated in amplitude by an audio signal. The resulting wave has a constant frequency, but a varying amplitude. A radio receiver tuned to have the same resonant frequency as the carrier wave can pick up the signal, while rejecting the many other frequencies impinging on its antenna. The receiver’s circuitry is designed to respond to variations in amplitude of the carrier wave to replicate the original audio signal. That audio signal is amplified to drive a speaker or perhaps to be recorded.",D,D
580,Positive charges move in the direction of the electric field and the same direction as what current?,relativity current,alternating current,direct current,conventional current,"Figure 20.4 Current I is the rate at which charge moves through an area A , such as the cross-section of a wire. Conventional current is defined to move in the direction of the electric field. (a) Positive charges move in the direction of the electric field and the same direction as conventional current. (b) Negative charges move in the direction opposite to the electric field. Conventional current is in the direction opposite to the movement of negative charge. The flow of electrons is sometimes referred to as electronic flow.",D,D
594,The complete hydrolysis of starch yields what?,sucrose,glutamate,insulin,glucose,"Both amylopectin and glycogen contain branch points that are linked through α-1,6linkages. These branch points occur more often in glycogen. Dextrins are glucose polysaccharides of intermediate size. The shine and stiffness imparted to clothing by starch are due to the presence of dextrins formed when clothing is ironed. Because of their characteristic stickiness with wetting, dextrins are used as adhesives on stamps, envelopes, and labels; as binders to hold pills and tablets together; and as pastes. Dextrins are more easily digested than starch and are therefore used extensively in the commercial preparation of infant foods. The complete hydrolysis of starch yields, in successive stages, glucose:.",D,D
607,"The boiling point of a solution is higher than the boiling point of the pure solvent, but the opposite occurs with this?",liquidity point,dissolving point,evaporation point,freezing point,"The boiling point of a solution is higher than the boiling point of the pure solvent, but the opposite occurs with the freezing point. The freezing point of a solution is lower than the freezing point of the pure solvent. Think of this by assuming that solute particles interfere with solvent particles coming together to make a solid, so it takes a lower temperature to get the solvent particles to solidify. This is called freezing point depression. The equation to calculate the change in the freezing point for a solution is similar to the equation for the boiling point elevation:.",C,C
608,What is the network of vessels and tissues that carry a clear fluid called lymph called?,cleansing system,excretory system,vessel system,lymphatic system,"The lymphatic system is a network of vessels and tissues that carry a clear fluid called lymph. The lymphatic system ( Figure below ) spreads all around the body and filters and cleans the lymph of any debris, abnormal cells, or pathogens. Lymph vessels are tube-shaped, just like blood vessels, with about 500-600 lymph nodes (in an adult) attached. The lymphatic system works with the cardiovascular system to return body fluids to the blood. The lymphatic system and the cardiovascular system are often called the body’s two ""circulatory systems. "".",D,D
612,Steam actually consists of tiny droplets of liquid what?,mercury,lead,methane,water,"Steam actually consists of tiny droplets of liquid water. What you can’t see in the picture is the water vapor that is also present in the air above the spring. Water vapor is water in the gaseous state. It constantly rises up from the surface of boiling hot water. Why? At high temperatures, particles of a liquid gain enough energy to completely overcome the force of attraction between them, so they change to a gas. The gas forms bubbles that rise to the surface of the liquid because gas is less dense than liquid. The bubbling up of the liquid is called boiling. When the bubbles reach the surface, the gas escapes into the air. The entire process in which a liquid boils and changes to a gas that escapes into the air is called vaporization . You can watch an animation of the process at this URL: http://www. visionlearning. com/img/app/library/objects/Flash/VLObject-321-030317040343. swf.",D,D
614,"What is the part of the cardiovascular system that carries oxygen-rich blood away from the heart, to the body, and returns oxygen-poor blood back to the heart?",molecular circulation,peripheral nervous system,somatic system,systemic circulation,"Systemic circulation is the part of the cardiovascular system that carries oxygen-rich blood away from the heart, to the body, and returns oxygen-poor blood back to the heart. Oxygen-rich blood leaves the left ventricle through the aorta. Then it travels to the body's organs and tissues. The tissues and organs absorb the oxygen through the capillaries. Oxygen-poor blood is collected from the tissues and organs by tiny veins, which then flow into bigger veins, and, eventually, into the inferior vena cava and superior vena cava. This completes systemic circulation. The blood releases carbon dioxide and gets more oxygen in pulmonary circulation before returning to systemic circulation. The inferior vena cava returns blood from the body. The superior vena cava returns blood from the head.",D,D
615,What causes polarization in a neutral object?,signaling of charges,meaning of charges,combining of charges,separation of charges,"Charging by Induction It is not necessary to transfer excess charge directly to an object in order to charge it. Figure 18.13 shows a method of induction wherein a charge is created in a nearby object, without direct contact. Here we see two neutral metal spheres in contact with one another but insulated from the rest of the world. A positively charged rod is brought near one of them, attracting negative charge to that side, leaving the other sphere positively charged. This is an example of induced polarization of neutral objects. Polarization is the separation of charges in an object that remains neutral. If the spheres are now separated (before the rod is pulled away), each sphere will have a net charge. Note that the object closest to the charged rod receives an opposite charge when charged by induction. Note also that no charge is removed from the charged rod, so that this process can be repeated without depleting the supply of excess charge. Another method of charging by induction is shown in Figure 18.14. The neutral metal sphere is polarized when a charged rod is brought near it. The sphere is then grounded, meaning that a conducting wire is run from the sphere to the ground. Since the earth is large and most ground is a good conductor, it can supply or accept excess charge easily. In this case, electrons are attracted to the sphere through a wire called the ground wire, because it supplies a conducting path to the ground. The ground connection is broken before the charged rod is removed, leaving the sphere with an excess charge opposite to that of the rod. Again, an opposite charge is achieved when charging by induction and the charged rod loses none of its excess charge.",A,D
619,"According to dalton's law, unless they chemically react with each other, individual gases in a mixture of gases do not affect each other’s what?",density,mass,weight,pressure,"The Pressure of a Mixture of Gases: Dalton’s Law Unless they chemically react with each other, the individual gases in a mixture of gases do not affect each other’s pressure. Each individual gas in a mixture exerts the same pressure that it would exert if it present alone in the container (Figure 9.20). The pressure exerted by each individual gas in a mixture is called its partial pressure. This observation is summarized by Dalton’s law of partial pressures: The total pressure of a mixture of ideal gases is equal to the sum of the partial pressures of the component gases: P Total = P A + P B + P C + . = Σ i P i In the equation PTotal is the total pressure of a mixture of gases, PA is the partial pressure of gas A; PB is the partial pressure of gas B; PC is the partial pressure of gas C; and so on.",C,C
625,What is the movement of fluid out of the capillaries called?,osmosis,diffusion,absorption,filtration,"20.3 Capillary Exchange Small molecules can cross into and out of capillaries via simple or facilitated diffusion. Some large molecules can cross in vesicles or through clefts, fenestrations, or gaps between cells in capillary walls. However, the bulk flow of capillary and tissue fluid occurs via filtration and reabsorption. Filtration, the movement of fluid out of the capillaries, is driven by the CHP. Reabsorption, the influx of tissue fluid into the capillaries, is driven by the BCOP. Filtration predominates in the arterial end of the capillary; in the middle section, the opposing pressures are virtually identical so there is no net exchange,.",C,C
626,The prevalence of cervical cancer in the united states is very low because of regular screening exams called what?,Stavros smears,prostates exams,mammograms,pap smears,"The prevalence of cervical cancer in the United States is very low because of regular screening exams called pap smears. Pap smears sample cells of the cervix, allowing the detection of abnormal cells. If pre-cancerous cells are detected, there are several highly effective techniques that are currently in use to remove them before they pose a danger. However, women in developing countries often do not have access to regular pap smears. As a result, these women account for as many as 80 percent of the cases of cervical cancer worldwide. In 2006, the first vaccine against the high-risk types of HPV was approved. There are now two HPV vaccines available: Gardasil® and Cervarix®. Whereas these vaccines were initially only targeted for women, because HPV is sexually transmitted, both men and women require vaccination for this approach to achieve its maximum efficacy. A recent study suggests that the HPV vaccine has cut the rates of HPV infection by the four targeted strains at least in half. Unfortunately, the high cost of manufacturing the vaccine is currently limiting access to many women worldwide.",D,D
640,"Sympathetic stimulation also triggers the release of epinephrine and norepinephrine, which enhance both cardiac output and what else?",digestion,vasodilation,inhibition,vasoconstriction,"pressure and maintaining blood flow. Ultimately, however, blood volume will need to be restored, either through physiological processes or through medical intervention. In response to blood loss, stimuli from the baroreceptors trigger the cardiovascular centers to stimulate sympathetic responses to increase cardiac output and vasoconstriction. This typically prompts the heart rate to increase to about 180–200 contractions per minute, restoring cardiac output to normal levels. Vasoconstriction of the arterioles increases vascular resistance, whereas constriction of the veins increases venous return to the heart. Both of these steps will help increase blood pressure. Sympathetic stimulation also triggers the release of epinephrine and norepinephrine, which enhance both cardiac output and vasoconstriction. If blood loss were less than 20 percent of total blood volume, these responses together would usually return blood pressure to normal and redirect the remaining blood to the tissues. Additional endocrine involvement is necessary, however, to restore the lost blood volume. The angiotensin-reninaldosterone mechanism stimulates the thirst center in the hypothalamus, which increases fluid consumption to help restore the lost blood. More importantly, it increases renal reabsorption of sodium and water, reducing water loss in urine output. The kidneys also increase the production of EPO, stimulating the formation of erythrocytes that not only deliver oxygen to the tissues but also increase overall blood volume. Figure 20.21 summarizes the responses to loss of blood volume.",D,D
646,"Because dizygotic twins develop from two eggs fertilized by two sperm, they are no more identical than siblings born at what?",other eras,other times of day,different places,different times,"birth of dizygotic (or fraternal) twins. Because dizygotic twins develop from two eggs fertilized by two sperm, they are no more identical than siblings born at different times. Much less commonly, a zygote can divide into two separate offspring during early development. This results in the birth of monozygotic (or identical) twins. Although the zygote can split as early as the two-cell stage, splitting occurs most commonly during the early blastocyst stage, with roughly 70–100 cells present. These two scenarios are distinct from each other, in that the twin embryos that separated at the two-cell stage will have individual placentas, whereas twin embryos that form from separation at the blastocyst stage will share a placenta and a chorionic cavity.",B,D
647,What is the plasma membrane mainly composed of?,carbon,filaments,antibodies,phospholipids,"The plasma membrane is composed mainly of phospholipids, which consist of fatty acids and alcohol. The phospholipids in the plasma membrane are arranged in two layers, called a phospholipid bilayer . As shown in Figure below , each phospholipid molecule has a head and two tails. The head “loves” water (hydrophilic) and the tails “hate” water (hydrophobic). The water-hating tails are on the interior of the membrane, whereas the water-loving heads point outwards, toward either the cytoplasm or the fluid that surrounds the cell.",D,D
650,What are protons and neutrons that make up the nucleus of an atom called?,electron shells,baryons,pions,nucleons,"and Z, the atomic number, is the number of protons. The protons and neutrons that make up the nucleus of an atom are callednucleons, and an atom with a particular number of protons and neutrons is called anuclide. Nuclides with the same number of protons but different numbers of neutrons are called isotopes. Isotopes can also be represented by an alternative notation that uses the name of the element followed by the mass number, such as carbon-12. The stable isotopes of oxygen, for example, can be represented in any of the following ways:.",D,D
655,How many chromosomes do mature gametes contain?,17,19,13,23,"Spermatogenesis As just noted, spermatogenesis occurs in the seminiferous tubules that form the bulk of each testis (see Figure 27.4). The process begins at puberty, after which time sperm are produced constantly throughout a man’s life. One production cycle, from spermatogonia through formed sperm, takes approximately 64 days. A new cycle starts approximately every 16 days, although this timing is not synchronous across the seminiferous tubules. Sperm counts—the total number of sperm a man produces—slowly decline after age 35, and some studies suggest that smoking can lower sperm counts irrespective of age. The process of spermatogenesis begins with mitosis of the diploid spermatogonia (Figure 27.5). Because these cells are diploid (2n), they each have a complete copy of the father’s genetic material, or 46 chromosomes. However, mature gametes are haploid (1n), containing 23 chromosomes—meaning that daughter cells of spermatogonia must undergo a second cellular division through the process of meiosis.",C,B
661,Fats are also called triacylglycerols or triglycerides because of their what?,elemental type,atomic number,chemical weight,chemical structure,"During this ester bond formation, three water molecules are released. The three fatty acids in the triacylglycerol may be similar or dissimilar. Fats are also called triacylglycerols or triglycerides because of their chemical structure. Some fatty acids have common names that specify their origin. For example, palmitic acid, a saturated fatty acid, is derived from the palm tree. Arachidic acid is derived from Arachis hypogea, the scientific name for groundnuts or peanuts. Fatty acids may be saturated or unsaturated. In a fatty acid chain, if there are only single bonds between neighboring carbons in the hydrocarbon chain, the fatty acid is said to be saturated. Saturated fatty acids are saturated with hydrogen; in other words, the number of hydrogen atoms attached to the carbon skeleton is maximized. Stearic acid is an example of a saturated fatty acid (Figure 3.14).",D,D
665,Biotechnology is the use of biological agents for technological advancement. what two areas are the primary applications of this technology used?,medicine and philosophy,medicine and architecture,medicine and psychology,medicine and agriculture,"Biotechnology is the use of biological agents for technological advancement. Biotechnology was used for breeding livestock and crops long before the scientific basis of these techniques was understood. Since the discovery of the structure of DNA in 1953, the field of biotechnology has grown rapidly through both academic research and private companies. The primary applications of this technology are in medicine (production of vaccines and antibiotics) and agriculture (genetic modification of crops, such as to increase yields). Biotechnology also has many industrial applications, such as fermentation, the treatment of oil spills, and the production of biofuels (Figure 17.2).",D,D
666,"Unlike free-living species of flatworms that are predators or scavengers, what forms feed from the tissues of their hosts?",herbiverous,aquatic,mutualistic,parasitic,"Flatworms The relationships among flatworms, or phylum Platyhelminthes, is being revised and the description here will follow the traditional groupings. Most flatworms are parasitic, including important parasites of humans. Flatworms have three embryonic germ layers that give rise to surfaces covering tissues, internal tissues, and the lining of the digestive system. The epidermal tissue is a single layer of cells or a layer of fused cells covering a layer of circular muscle above a layer of longitudinal muscle. The mesodermal tissues include support cells and secretory cells that secrete mucus and other materials to the surface. The flatworms are acoelomate, so their bodies contain no cavities or spaces between the outer surface and the inner digestive tract. Physiological Processes of Flatworms Free-living species of flatworms are predators or scavengers, whereas parasitic forms feed from the tissues of their hosts. Most flatworms have an incomplete digestive system with an opening, the “mouth,” that is also used to expel digestive.",D,D
675,"Humans are unique in their ability to alter their environment with the conscious purpose of increasing what, which acts as a limiting factor on populations in general?",niche,density dependent limitation,containing capacity,carrying capacity,"Overcoming Density-Dependent Regulation Humans are unique in their ability to alter their environment with the conscious purpose of increasing its carrying capacity. This ability is a major factor responsible for human population growth and a way of overcoming density-dependent growth regulation. Much of this ability is related to human intelligence, society, and communication. Humans can construct shelter to protect them from the elements and have developed agriculture and domesticated animals to increase their food supplies. In addition, humans use language to communicate this technology to new generations, allowing them to improve upon previous accomplishments. Other factors in human population growth are migration and public health. Humans originated in Africa, but have since migrated to nearly all inhabitable land on the Earth. Public health, sanitation, and the use of antibiotics and vaccines have decreased the ability of infectious disease to limit human population growth. In the past, diseases such as the bubonic plaque of the fourteenth century killed between 30 and 60 percent of Europe’s population and reduced the overall world population by as many as 100 million people. Today, the threat of infectious disease, while not gone, is certainly less severe. According to the World Health Organization, global death from infectious disease declined from 16.4 million in 1993 to 14.7 million in 1992. To compare to some of the epidemics of the past, the percentage of the world's population killed between 1993 and 2002 decreased from 0.30 percent of the world's population to 0.24 percent. Thus, it appears that the influence of infectious disease on human population growth is becoming less significant.",C,C
676,A desmosome is a cell structure that anchors the ends of what fibers together?,smooth muscle,skeletal muscle,controllable muscle,cardiac muscle,30.5 Applications of Atomic Excitations and De-Excitations 30. Figure 30.39 shows the energy-level diagram for neon. (a) Verify that the energy of the photon emitted when neon goes from its metastable state to the one immediately below is equal to 1.96 eV. (b) Show that the wavelength of this radiation is 633 nm. (c) What wavelength is emitted when the neon makes a direct transition to its ground state? 31. A helium-neon laser is pumped by electric discharge. What wavelength electromagnetic radiation would be needed to pump it? See Figure 30.39 for energy-level information. Ruby lasers have chromium atoms doped in an aluminum oxide crystal. The energy level diagram for chromium in a ruby is shown in Figure 30.64. What wavelength is emitted by a ruby laser?.,D,D
680,"Of the three types of skeleton designs - hydrostatic skeletons, exoskeletons, and endoskeletons - which do humans possess?",exoskeleton,none of the above,hydrostatic skeleton,endoskeleton,"CHAPTER SUMMARY 38.1 Types of Skeletal Systems The three types of skeleton designs are hydrostatic skeletons, exoskeletons, and endoskeletons. A hydrostatic skeleton is formed by a fluid-filled compartment held under hydrostatic pressure; movement is created by the muscles producing pressure on the fluid. An exoskeleton is a hard external skeleton that protects the outer surface of an organism and enables movement through muscles attached on the inside. An endoskeleton is an internal skeleton composed of hard, mineralized tissue that also enables movement by attachment to muscles. The human skeleton is an endoskeleton that is composed of the axial and appendicular skeleton. The axial skeleton is composed of the bones of the skull, ossicles of the ear, hyoid bone, vertebral column, and ribcage. The skull consists of eight cranial bones and 14 facial bones. Six bones make up the ossicles of the middle ear, while the hyoid bone is located in the neck under the mandible. The vertebral column contains 26 bones, and it surrounds and protects the spinal cord. The thoracic cage consists of the sternum, ribs, thoracic vertebrae, and costal cartilages. The appendicular skeleton is made up of the limbs of the upper and lower limbs. The pectoral girdle is composed of the clavicles and the scapulae. The upper limb contains 30 bones in the arm, the forearm, and the hand. The pelvic girdle attaches the lower limbs to the axial skeleton. The lower limb includes the bones of the thigh, the leg, and the foot.",A,B
687,Higher temperatures increase the rate of reaction in a lot of chemical reactions because they increase the frequency of what interaction between reactant particles?,waves,electric,explosions,collisions,"Raising the temperature of a chemical reaction usually results in a higher rate of reaction. When the reactant particles are heated, they move faster and faster. This results in a greater frequency of collisions. A more important effect of the temperature increase is that the collisions occur with a greater force and are thus more likely to surmount the activation energy barrier and go on to form products. Increasing the temperature of a reaction increases the number of effective collisions between reacting particles, so the reaction rate increases.",D,D
692,What is used to recrystallize excess dissolved solute in a supersaturated solution?,fertilizer crystal,starter crystal,energy crystal,seed crystal,"Some solutes, such as sodium acetate, do not recrystallize easily. Suppose an exactly saturated solution of sodium acetate is prepared at 50°C. As it cools back to room temperature, no crystals appear in the solution, even though the solubility of sodium acetate is lower at room temperature. A supersaturated solution is a solution that contains more than the maximum amount of solute that is capable of being dissolved at a given temperature. The recrystallization of the excess dissolved solute in a supersaturated solution can be initiated by the addition of a tiny crystal of solute, called a seed crystal. The seed crystal provides a nucleation site on which the excess dissolved crystals can begin to grow. Recrystallization from a supersaturated solution is typically very fast.",C,D
693,"Our bodies use what, primarily in the form of glucose, for our immediate energy needs - although they are not as energy dense or capable of long-term storage as lipids?",proteins,enzymes,electrolytes,carbohydrates,"Opening Essay On July 11, 2003, the Food and Drug Administration amended its food labeling regulations to require that manufacturers list the amount of trans fatty acids on Nutrition Facts labels of foods and dietary supplements, effective January 1, 2006. This amendment was a response to published studies demonstrating a link between the consumption of trans fatty acids and an increased risk of heart disease. Trans fatty acids are produced in the conversion of liquid oils to solid fats, as in the creation of many commercial margarines and shortenings. They have been shown to increase the levels of low-density lipoproteins (LDLs)—complexes that are often referred to as bad cholesterol—in the blood. In this chapter, you will learn about fatty acids and what is meant by a trans fatty acid, as well as the difference between fats and oils. You will also learn what cholesterol is and why it is an important molecule in the human body. Fats and oils, found in many of the foods we eat, belong to a class of biomolecules known as lipids. Gram for gram, they pack more than twice the caloric content of carbohydrates: the oxidation of fats and oils supplies about 9 kcal of energy for every gram oxidized, whereas the oxidation of carbohydrates supplies only 4 kcal/g. Although the high caloric content of fats may be bad news for the dieter, it says something about the efficiency of nature’s designs. Our bodies use carbohydrates, primarily in the form of glucose, for our immediate energy needs. Our capacity for storing carbohydrates for later use is limited to tucking away a bit of glycogen in the liver or in muscle tissue. We store our reserve energy in lipid form, which requires far less space than the same amount of energy stored in carbohydrate form. Lipids have other biological functions besides energy storage. They are a major component of the membranes of the 10 trillion cells in our bodies. They serve as.",A,A
694,What part of the body do ants use to detect chemicals?,eyes,thorax,fins,antennae,"Some animals communicate with scent. They release chemicals that other animals of their species can smell or detect in some other way. Ants release many different chemicals. Other ants detect the chemicals with their antennae. This explains how ants are able to work together. The different chemicals that ants produce have different meanings. Some of the chemicals signal to all of the ants in a group to come together. Other chemicals warn of danger. Still other chemicals mark trails to food sources. When an ant finds food, it marks the trail back to the nest by leaving behind a chemical on the ground. Other ants follow the chemical trail to the food.",D,D
696,Fitness and natural selection are parts of what theory that might describe how organisms change over time?,implementation,dessication,gravity,evolution,"All of these animal behaviors are important. They help the animals get food for energy, make sure their young survive, or ensure that they, themselves, survive. Behaviors that help animals or their young survive, increase the animals’ fitness. Animals with higher fitness have a better chance of passing their genes on to the next generation. If genes control behaviors that increase fitness, the behaviors become more common in the species. This occurs through the process of evolution by natural selection.",D,D
698,Thermodynamics do not give us any insight into what attribute of spontaneous processes?,increase,acceleration,decrease,rate,"It should be noted that just because a process is spontaneous does not mean that it occurs quickly. The rusting of iron is a spontaneous process that takes place over a long period of time. The combustion of gasoline in oxygen (also a spontaneous process) is extremely fast when provided with a spark, but gasoline can be stored in air for quite a while without spontaneously combusting. Thermodynamics predicts the direction in which a reaction will eventually proceed, but it does not tell us anything about the rate at which the reaction occurs. The rate of a reaction depends on many factors, including activation energy, temperature, concentration, and the presence or absence of a catalyst. Chemical kinetics focuses on the pathway between reactants and products, while thermodynamics considers only the difference between the initial and final states.",A,D
700,What is the process of the blastula forming 3 layers of cells called?,fermentation,Mitosis,internalization,gastrulation,"Gastrulation The typical blastula is a ball of cells. The next stage in embryonic development is the formation of the body plan. The cells in the blastula rearrange themselves spatially to form three layers of cells. This process is called gastrulation. During gastrulation, the blastula folds upon itself to form the three layers of cells. Each of these layers is called a germ layer and each germ layer differentiates into different organ systems. The three germs layers, shown in Figure 43.26, are the endoderm, the ectoderm, and the mesoderm. The ectoderm gives rise to the nervous system and the epidermis. The mesoderm gives rise to the muscle cells and connective tissue in the body. The endoderm gives rise to columnar cells found in the digestive system and many internal organs.",D,D
703,"Many of the protist species classified into the supergroup excavata are asymmetrical, single-celled organisms with a feeding groove “excavated” from one side. this supergroup includes heterotrophic predators, photosynthetic species, and these?",mammals,insects,reptiles,parasites,"Excavata Many of the protist species classified into the supergroup Excavata are asymmetrical, single-celled organisms with a feeding groove “excavated” from one side. This supergroup includes heterotrophic predators, photosynthetic species, and parasites. Its subgroups are the diplomonads, parabasalids, and euglenozoans. Diplomonads Among the Excavata are the diplomonads, which include the intestinal parasite, Giardia lamblia (Figure 23.10). Until recently, these protists were believed to lack mitochondria. Mitochondrial remnant organelles, called mitosomes, have since been identified in diplomonads, but these mitosomes are essentially nonfunctional. Diplomonads exist in anaerobic environments and use alternative pathways, such as glycolysis, to generate energy. Each diplomonad cell has two identical nuclei and uses several flagella for locomotion.",D,D
707,What is a common age-related bone disease in which bone density and strength is decreased?,arthritis,fibrosis,lupus,osteoporosis,"View this animation (http://openstaxcollege. org/l/ headblow) to see how a blow to the head may produce a contrecoup (counterblow) fracture of the basilar portion of the occipital bone on the base of the skull. Why may a basilar fracture be life threatening? 3. Osteoporosis is a common age-related bone disease in which bone density and strength is decreased. Watch this video (http://openstaxcollege. org/l/osteoporosis) to get a better understanding of how thoracic vertebrae may become weakened and may fractured due to this disease. How may vertebral osteoporosis contribute to kyphosis? 4. Watch this animation (http://openstaxcollege. org/l/ diskslip) to see what it means to “slip” a disk. Watch this second animation (http://openstaxcollege. org/l/ herndisc) to see one possible treatment for a herniated disc,.",D,D
709,What is the branch of science that studies the physical world?,Ecology,social science,botany,physics,"What is physics ? Physics is the branch of science that studies the physical world, including objects as small as subatomic particles and as large as galaxies. It studies the nature of matter and energy and how they interact. Physicists are inquisitive people who want to know the causes of what they see. How does the moon move? Why does the moon move? Why do the stars shine? Why do your hands get warm when you rub them together? Physicists, like all scientists, hope to find explanations that describe more than one phenomenon and offer a better understanding of how the universe works.",D,D
716,"Humans use many compounds that were first discovered or derived from living organisms as medicines: secondary plant compounds, animal toxins, and antibiotics produced by these?",tumors and fungi,bacteria and tumors,molecules and fungi,bacteria and fungi,"47.2 The Importance of Biodiversity to Human Life Humans use many compounds that were first discovered or derived from living organisms as medicines: secondary plant compounds, animal toxins, and antibiotics produced by bacteria and fungi. More medicines are expected to be discovered in nature. Loss of biodiversity will impact the number of pharmaceuticals available to humans. Crop diversity is a requirement for food security, and it is being lost. The loss of wild relatives to crops also threatens breeders’ abilities to create new varieties. Ecosystems provide ecosystem services that support human agriculture: pollination, nutrient cycling, pest control, and soil development and maintenance. Loss of biodiversity threatens these ecosystem services and risks making food production more expensive or impossible. Wild food sources are mainly aquatic, but few are being managed for sustainability. Fisheries’ ability to provide protein to human populations is threatened when extinction occurs. Biodiversity may provide important psychological benefits to humans. Additionally, there are moral arguments for the maintenance of biodiversity.",D,B
720,What forms when an atom gains electrons?,crystals,cations,bonds,anions,"Anions form when an atom gains electrons. Nonmetallic atoms typically gain enough electrons to obtain the same electron configuration as the nearest noble gas. All the elements in Group 17 have seven valence electrons, which are arranged into an outer configuration of n s 2 n p 5 . To achieve a noble gas configuration ( n s 2 n p 6 ), each of these elements needs to gain just one electron, resulting in an anion with a 1− charge. Similarly, Group 16 elements can obtain an n s 2 n p 6 valence configuration by forming ions with a 2− charge, and the Group 15 nonmetals will form ions with a 3− charge. Naming anions is slightly different than naming cations. The end of the element’s name is dropped and replaced with the – ide suffix. For example, when the chlorine atom (Cl) gains one electron, it becomes the chloride ion (Cl - ). This structure has the same electron configuration as the noble gas argon. Similarly, sulfur can gain two electrons to become the sulfide ion (S 2- ), which also has a noble gas configuration.",D,C
721,"There are several types of wetlands including marshes, swamps, bogs, mudflats, and salt marshes. the three shared characteristics among these types—what makes them wetlands—are their hydrology, hydrophytic vegetation, and this?",niya soils,stibnite soils,sandy soils,hydric soils,"may not be able to use vision as their primary sense to find food. Instead, they are more likely to use taste or chemical cues to find prey. Wetlands Wetlands are environments in which the soil is either permanently or periodically saturated with water. Wetlands are different from lakes because wetlands are shallow bodies of water whereas lakes vary in depth. Emergent vegetation consists of wetland plants that are rooted in the soil but have portions of leaves, stems, and flowers extending above the water’s surface. There are several types of wetlands including marshes, swamps, bogs, mudflats, and salt marshes (Figure 44.25). The three shared characteristics among these types—what makes them wetlands—are their hydrology, hydrophytic vegetation, and hydric soils.",D,D
724,"Because microorganisms can go through several generations in a matter of hours, their gene expression profiles adapt to the new laboratory environment very quickly. in addition, the vast majority of bacterial species resist being cultured in this?",colonies,water,substrate,isolation,"Microbial Genomics: Metagenomics Traditionally, microbiology has been taught with the view that microorganisms are best studied under pure culture conditions, which involves isolating a single type of cell and culturing it in the laboratory. Because microorganisms can go through several generations in a matter of hours, their gene expression profiles adapt to the new laboratory environment very quickly. In addition, the vast majority of bacterial species resist being cultured in isolation. Most microorganisms do not live as isolated entities, but in microbial communities known as biofilms. For all of these reasons, pure culture is not always the best way to study microorganisms. Metagenomics is the study of the collective genomes of multiple species.",D,D
